STAID,synchrony_scale_km,latitude,longitude,PPTAVG_BASIN,T_AVG_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,climate_zone
11383500,2225,40.17712,-121.57416,148.3538,9.90379,606.2504,32.49294,0.527161085950216,86.33224,12.38198,0.7659674,3
11481200,2400,41.022866,-123.996119,173.543,11.40471,597.5264,2.907023,0.507966793068033,113.5786,16.57811,1.0,3
11482500,2425,41.058615,-123.888499,212.8607,11.05943,609.7916,11.79361,0.505723958563333,116.484,17.03156,1.346447,3
12039500,2300,47.585178,-123.630047,415.8397,7.697404,518.8571,27.26344,0.422945440737314,224.2012,24.70405,8.912623,1
12048000,1225,47.889476,-123.191193,178.3881,5.247619,459.1466,50.89912,0.417963196791815,187.3162,24.24675,6.141579,1
12054000,2550,47.667045,-123.191215,248.2456,5.396637,452.7243,39.86143,0.4212357463295,189.0374,23.68139,6.575947,1
12056500,2550,47.555376,-123.37907,317.2837,6.22243,473.941,36.27812,0.437222460118168,214.8032,25.30321,6.893336,1
12082500,1000,46.745735,-121.895899,235.9702,5.218549,460.4162,48.55481,0.387529541520905,183.8235,21.71447,6.299398,1
12092000,100,46.869666,-121.905301,225.8091,4.163317,428.5868,56.48161,0.332908625675557,191.7065,22.80535,6.531058,1
12093500,650,46.911423,-122.006482,193.5856,6.252518,488.8082,42.9271,0.325184465998784,184.1492,22.05935,6.224309,1
12108500,2300,47.227064,-121.985032,137.6491,9.93938,600.3593,14.37808,0.282484541031817,172.0212,19.38203,6.743771,3
12115000,2425,47.324524,-121.528399,269.7934,4.923145,454.2242,53.39223,0.384410662671863,207.0667,23.94846,7.461397,1
12115500,2300,47.321806,-121.636187,268.4376,6.334912,488.4636,46.9449,0.36938991775564,202.5385,23.6464,8.0,1
12117000,2375,47.365026,-121.784688,255.326,8.354382,546.9392,33.93053,0.310106257219022,195.2645,21.53065,8.016395,1
12144500,2025,47.520454,-121.573369,294.3587,6.527556,499.0195,48.64445,0.342503296801552,206.75,23.28474,7.993889,1
12175500,175,48.576345,-121.032434,232.5618,5.061309,481.4716,69.62526,0.416609574404126,174.5574,21.46776,7.09526,1
12186000,1000,48.05193,-121.332471,313.9735,5.472355,481.5417,59.62034,0.384622231076416,211.0758,24.39713,8.123427,1
12189500,925,48.197859,-121.304794,276.5835,6.194384,509.8033,57.27145,0.394300224254176,200.8567,23.64928,7.812293,1
12411000,2350,47.880818,-116.202944,122.6399,5.669456,510.3886,46.80939,0.231797774938622,154.2069,18.71657,6.004264,4
12413000,2325,47.769549,-116.154032,120.576,6.252543,530.741,47.04512,0.236970194042589,152.0683,18.36532,5.976311,4
12451000,225,48.389973,-120.859637,173.1666,5.240378,495.8994,69.31096,0.434963860145467,149.1951,19.91909,5.358484,1
14137000,2500,45.307619,-121.875705,229.2265,7.102941,507.6901,44.15496,0.381923045446344,175.3984,20.77918,5.410024,1
14141500,2300,45.415487,-122.04192,273.1789,9.474654,584.4148,28.82317,0.368576499902563,188.7544,22.44104,6.075636,1
14154500,2250,43.66203,-122.714718,165.6754,9.809835,578.2165,12.47529,0.389035864397348,163.8624,21.41595,3.207326,3
14158500,2625,44.42784,-121.990698,218.4857,6.904483,501.4269,46.19873,0.410750288528831,165.5583,20.64779,4.729142,1
14178000,2600,44.608766,-121.938953,218.8936,7.009957,506.1885,49.06254,0.428173030356504,163.0412,20.09028,4.67513,1
14190500,2325,44.778392,-123.445443,187.7824,10.21803,598.5594,14.50612,0.49424824244954,156.6348,20.53634,3.156549,3
14226500,2025,46.70784,-121.559337,203.5242,5.038334,452.67,52.99801,0.438826866361622,170.814,20.69831,6.120514,1
14233500,2650,46.524889,-121.711996,200.4377,6.749567,509.0772,46.59539,0.422934519346813,169.5087,20.682,5.632173,1
14305500,2350,44.817267,-123.719882,283.6101,9.598534,563.3378,12.96485,0.464749459791743,182.996,22.34419,4.341313,3
14309500,2500,42.830315,-123.742799,135.5243,10.81526,610.1595,7.885152,0.461162555085046,150.5636,20.2661,2.0,3
14316700,2275,43.452948,-122.646586,151.9316,10.13223,600.1883,17.9821,0.394129796381913,155.3698,20.3279,2.880107,3
14319500,2425,43.302635,-122.654011,149.1371,9.476633,581.4579,25.13258,0.401588293952933,144.2944,18.65401,2.952001,3
14325000,2500,42.791849,-124.027456,227.2745,11.39919,631.0413,5.97835,0.474053673733171,164.8874,21.60716,2.038132,3
